id,record_id,reshoot_idx_id,data_type_id,state_id,Date
4189,9389286,1,1,1,23-03-2016 12:24:59:008
4191,9389287,1,1,1,23-03-2016 12:24:15:776
4193,9389288,1,1,1,23-03-2016 12:23:27:936
4195,9389289,1,1,1,23-03-2016 12:22:38:496
4197,9389290,1,1,1,23-03-2016 12:21:48:960
4199,9389291,1,1,1,23-03-2016 12:20:59:008
4201,9389292,1,1,1,23-03-2016 12:19:45:360
4203,9389293,1,1,1,23-03-2016 12:19:00:320
4205,9389294,1,1,1,23-03-2016 12:17:57:568
4207,9389295,1,1,1,23-03-2016 12:17:08:432
4209,9389296,1,1,1,23-03-2016 12:16:28:096
4211,9389297,1,1,1,23-03-2016 12:15:42:448
4213,9389298,1,1,1,23-03-2016 12:14:52:304
4215,9389299,1,1,1,23-03-2016 12:13:08:000
4217,9389386,1,1,1,23-03-2016 13:01:57:824
4219,9389387,1,1,1,23-03-2016 13:03:24:288
4221,9389388,1,1,1,23-03-2016 13:14:32:688
4223,9389389,1,1,1,23-03-2016 13:15:27:232
4225,9389390,1,1,1,23-03-2016 13:16:12:672
4227,9389391,1,1,1,23-03-2016 13:17:00:208
4229,9389392,1,1,1,23-03-2016 13:17:52:240
4231,9389393,1,1,1,23-03-2016 13:18:34:176
4233,9389394,1,1,1,23-03-2016 13:19:16:320
4235,9389395,1,1,1,23-03-2016 13:19:56:048
4237,9389396,1,1,1,23-03-2016 13:20:34:896
4239,9389397,1,1,1,23-03-2016 13:21:12:016
4241,9389398,1,1,1,23-03-2016 13:22:46:288
4243,9389399,1,1,1,23-03-2016 13:23:26:128
4245,9389400,1,1,1,23-03-2016 13:24:24:048
4247,9389401,1,1,1,23-03-2016 13:25:03:088
4251,9389403,1,1,1,23-03-2016 13:26:31:984
4255,9389405,1,1,1,23-03-2016 13:28:09:088
4259,9389407,1,1,1,23-03-2016 13:30:04:224
4261,9389408,1,1,1,23-03-2016 13:30:58:224
4263,9389409,1,1,1,23-03-2016 13:31:52:224
4265,9389410,1,1,1,23-03-2016 13:32:33:136
4267,9389411,1,1,1,23-03-2016 13:33:27:136
4269,9389412,1,1,1,23-03-2016 13:34:28:224
4271,9389413,1,1,1,23-03-2016 13:35:22:224
4273,9389414,1,1,1,23-03-2016 13:36:06:144
4275,9389415,1,1,1,23-03-2016 13:37:00:144
4277,9389416,1,1,1,23-03-2016 13:37:43:120
4279,9389417,1,1,1,23-03-2016 13:38:30:960
4281,9389418,1,1,1,23-03-2016 13:39:23:696
4283,9389419,1,1,1,23-03-2016 13:40:19:552
4285,9389420,1,1,1,23-03-2016 13:41:08:784
4287,9389421,1,1,1,23-03-2016 13:41:50:320
4289,9389422,1,1,1,23-03-2016 13:42:27:952
4291,9389423,1,1,1,23-03-2016 13:43:23:600
4293,9389424,1,1,1,23-03-2016 13:43:59:856
4295,9389425,1,1,1,23-03-2016 13:44:42:096
4297,9389426,1,1,1,23-03-2016 13:45:34:144
4299,9389427,1,1,1,23-03-2016 13:46:17:680
4301,9389428,1,1,1,23-03-2016 13:47:02:096
4303,9389429,1,1,1,23-03-2016 13:47:42:160
4305,9389430,1,1,1,23-03-2016 13:48:38:704
4307,9389431,1,1,1,23-03-2016 13:49:22:032
4309,9389432,1,1,1,23-03-2016 13:50:02:160
4311,9389433,1,1,1,23-03-2016 13:50:54:192
4313,9389434,1,1,1,23-03-2016 13:54:10:464
4315,9389435,1,1,1,23-03-2016 13:54:52:816
4317,9389436,1,1,1,23-03-2016 13:55:40:848
4319,9389437,1,1,1,23-03-2016 13:56:21:680
4321,9389438,1,1,1,23-03-2016 13:56:58:240
4323,9389439,1,1,1,23-03-2016 13:57:38:064
4325,9389440,1,1,1,23-03-2016 13:58:29:008
4327,9389441,1,1,1,23-03-2016 13:59:13:344
4329,9389549,1,1,1,23-03-2016 12:25:29:840
4331,9389550,1,1,1,23-03-2016 12:26:38:816
4333,9389551,1,1,1,23-03-2016 12:27:21:056
4335,9389552,1,1,1,23-03-2016 12:28:05:200
4337,9389553,1,1,1,23-03-2016 12:29:00:544
4339,9389554,1,1,1,23-03-2016 12:29:48:816
4341,9389555,1,1,1,23-03-2016 12:30:32:560
4343,9389556,1,1,1,23-03-2016 12:31:22:096
4345,9389557,1,1,1,23-03-2016 12:32:10:336
4347,9389558,1,1,1,23-03-2016 12:33:03:392
4349,9389559,1,1,1,23-03-2016 12:34:02:640
4351,9389560,1,1,1,23-03-2016 12:34:48:080
4353,9389561,1,1,1,23-03-2016 12:35:30:416
4355,9389562,1,1,1,23-03-2016 12:36:29:248
4357,9389563,1,1,1,23-03-2016 12:37:23:808
4359,9389564,1,1,1,23-03-2016 12:38:19:264
4361,9389565,1,1,1,23-03-2016 12:39:15:808
4363,9389566,1,1,1,23-03-2016 12:40:01:936
4365,9389567,1,1,1,23-03-2016 12:40:48:272
4367,9389568,1,1,1,23-03-2016 12:41:34:928
4369,9389569,1,1,1,23-03-2016 12:42:23:040
4371,9389570,1,1,1,23-03-2016 12:43:10:288
4373,9389571,1,1,1,23-03-2016 12:44:12:448
4375,9389572,1,1,1,23-03-2016 12:45:06:912
4377,9389573,1,1,1,23-03-2016 12:46:03:360
4379,9389574,1,1,1,23-03-2016 12:46:48:800
4381,9389575,1,1,1,23-03-2016 12:47:44:336
4383,9389576,1,1,1,23-03-2016 12:48:32:480
